product_id,detail_url,title,category,sofa_category,competitor,totale breedte (a),binnenbreedte (b),totale hoogte (c),framehoogte (d),totale diepte (e),zithoogte (f),zitdiepte (g),lengte van de poten (l),matraslengte (m),matrasbreedte (n),totale diepte bed uitgeklapt (z),bekleding,garantie op het frame,zitkussens,rugkussens,original_price,price,totale lengte (h),internal length (i),interne lengte (i),footboard height (k)
FS-AIS-121,https://www.sofa.com/nl/banken/banken-bestsellers/aissa-banken/p/FS-AIS-121,Aissa Banken,2_seat_sofas,2 en half zits banken,sofa,179cm,161cm,91cm,63cm,97cm,54cm,60cm,5cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,1.692,1.438,,,,
FS-IGG-121,https://www.sofa.com/nl/banken/banken-bestsellers/iggy-banken/p/FS-IGG-121,Iggy Banken,2_seat_sofas,2 en half zits banken,sofa,164cm,144cm,91cm,66cm,95cm,53cm,59cm,15cm,,,,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,100% Veren,1.692,1.438,,,,
FS-DSC-121,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/descartes-banken/p/FS-DSC-121,Descartes Banken,2_seat_sofas,2 en half zits banken,sofa,195cm,155cm,90cm,70cm,88cm,56cm,61cm,20cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,,1.848,1.571,,,,
FS-ISA-121,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/isaac-banken/p/FS-ISA-121,Isaac Banken,2_seat_sofas,2 en half zits banken,sofa,193cm,175cm,92cm,76cm,95cm,47cm,62cm,,,,,Afneembaar,Levenslang,Koudschuim Omhuld Door Eendenveren,100% Veren,"1,608","1,367",,,,
FS-IZZ-121,https://www.sofa.com/nl/banken/banken-bestsellers/izzy-banken/p/FS-IZZ-121,Izzy Banken,2_seat_sofas,2 en half zits banken,sofa,181cm,161cm,87cm,53cm,97cm,51cm,60cm,14.5cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,"1,692","1,438",,,,
FS-CSP-121,https://www.sofa.com/nl/banken/klassiek-banken/costello-with-wooden-plinth-banken/p/FS-CSP-121,Costello With Wooden Plinth Banken,2_seat_sofas,2 en half zits banken,sofa,202cm,156cm,92cm,50cm,102cm,48cm,64cm,19cm,,,,Removable,Levenslang,100% Quallofil,Feather And Quallofil,1.608,1.367,,,,
FS-DSP-121,https://www.sofa.com/nl/banken/op-poten-banken/descartes-plain-banken/p/FS-DSP-121,Descartes Plain Banken,2_seat_sofas,2 en half zits banken,sofa,195cm,155cm,90cm,70cm,88cm,56cm,61cm,20cm,,,,Vast,Levenslang,Feather Wrapped Foam,,1.608,1.367,,,,
FS-HOL-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/holly-banken/p/FS-HOL-121,Holly Banken,2_seat_sofas,2 en half zits banken,sofa,185cm,155cm,87cm,52cm,90cm,50cm,54cm,20cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,Veren En Kunstvezels,"1,308","1,112",,,,
FS-FGL-121,https://www.sofa.com/nl/banken/op-poten-banken/fingal-banken/p/FS-FGL-121,Fingal Banken,2_seat_sofas,2 en half zits banken,sofa,191cm,162cm,76cm,54cm,80cm,55cm,56cm,22cm,,,,Vast,Levenslang,Witte Eendenveren Rondom Een Laag Eersteklas Schuimrubber,,1.128,959,,,,
FS-COS-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/costello-banken/p/FS-COS-121,Costello Banken,2_seat_sofas,2 en half zits banken,sofa,202cm,156cm,92cm,50cm,102cm,48cm,64cm,19cm,,,,Vast,Levenslang,Schium schuimrubber met synthetische vezels (Quallofil),Veren en Schuimrubber met synthetische vezels (Quallofil),1.608,1.367,,,,
FS-ISL-121,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/isla-banken/p/FS-ISL-121,Isla Banken,2_seat_sofas,2 en half zits banken,sofa,197cm,160cm,92cm,62cm,104cm,55cm,63cm,16cm,,,,Removable,Levenslang,Schuimrubber En Kunstvezels,Eendenveren,"1,764","1,499",,,,
FS-HMP-121,https://www.sofa.com/nl/banken/klassiek-banken/humphrey-banken/p/FS-HMP-121,Humphrey Banken,2_seat_sofas,2 en half zits banken,sofa,221cm,155cm,80cm,61cm,103cm,56cm,74cm,19cm,,,,Vast,Levenslang,Feather Wrapped Quallofil,,2.088,1.775,,,,
FS-OSC-121,https://www.sofa.com/nl/banken/op-poten-banken/oscar-banken/p/FS-OSC-121,Oscar Banken,2_seat_sofas,2 en half zits banken,sofa,209cm,145cm,87cm,67cm,101cm,58cm,64cm,20cm,,,,Vast,Levenslang,Witte Eendenveren Rondom Een Laag Eersteklas Schuimrubber,,"1,848","1,571",,,,
FS-OTO-121,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/otto-banken/p/FS-OTO-121,Otto Banken,2_seat_sofas,2 en half zits banken,sofa,188cm,166cm,94cm,61cm,102cm,55cm,70cm,3cm,,,,Afneembaar,Levenslang,Quallofil Schuimrubber Omhuld Door Eendenveren,Eendenveren Met Synthetische Vezels (Quallofil),1.848,1.571,,,,
FS-SNO-121,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/snowdrop-banken/p/FS-SNO-121,Snowdrop Banken,2_seat_sofas,2 en half zits banken,sofa,192cm,157cm,88cm,77cm,106cm,53cm,66cm,16cm,,,,Fixed With Removable Cushion Covers,Levenslang,Feather Wrapped Foam,,1.608,1.367,,,,
FS-STE-121,https://www.sofa.com/nl/banken/afneembare-hoezen-banken/stella-banken/p/FS-STE-121,Stella Banken,2_seat_sofas,2 en half zits banken,sofa,197cm,157cm,91cm,64cm,100cm,57cm,69cm,3cm,,,,"Losse Afneembare Hoes (Behalve Leer, Dat Is Vast)",Levenslang,Feather-Wrapped Foam,3 Tiered Feather And Fibre Combination,"1,608","1,367",,,,
FS-ZEP-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/zeppelin-banken/p/FS-ZEP-121,Zeppelin Banken,2_seat_sofas,2 en half zits banken,sofa,184cm,129cm,75cm,55cm,94cm,43cm,55cm,20cm,,,,Vast,Levenslang,,,"1,128",959,,,,
FS-PTR-121,https://www.sofa.com/nl/banken/op-poten-banken/patrick-banken/p/FS-PTR-121,Patrick Banken,2_seat_sofas,2 en half zits banken,sofa,204cm,148cm,75cm,67cm,98cm,53cm,65cm,8cm,,,,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,,"1,848","1,571",,,,
FS-SAT-121,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/saturday-banken/p/FS-SAT-121,Saturday Banken,2_seat_sofas,2 en half zits banken,sofa,198cm,147cm,86cm,66cm,108cm,51cm,65cm,20cm,,,,Vast,Levenslang,Schuimrubber Met Eendenveren,,"1,608","1,367",,,,
FS-HEN-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/hendrik-banken/p/FS-HEN-121,Hendrik Banken,2_seat_sofas,2 en half zits banken,sofa,164cm,150cm,92cm,77cm,97cm,50cm,58cm,26cm,,,,Afneembare zit- en rugkussens,Levenslang,Schuimrubber,100% Quallofil,1.128,959,,,,
FS-JAS-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/jasper-banken/p/FS-JAS-121,Jasper Banken,2_seat_sofas,2 en half zits banken,sofa,191cm,143cm,89cm,69cm,100cm,45cm,65cm,20cm,,,,Vast,Levenslang,,100% veren strooi kussen,"1,608","1,367",,,,
FS-FRD-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/freddie-banken/p/FS-FRD-121,Freddie Banken,2_seat_sofas,2 en half zits banken,sofa,195cm,150cm,95cm,58cm,103cm,52cm,66cm,18cm,,,,Vast met verwijderbare rugkussenbekleding,Levenslang,Schuim en Quallofill-vezel,Quallofill-vezel,"1,608","1,367",,,,
FS-HRP-121,https://www.sofa.com/nl/banken/ronde-armleuning-banken/harper-banken/p/FS-HRP-121,Harper Banken,2_seat_sofas,2 en half zits banken,sofa,184cm,150cm,83cm,61cm,89cm,47cm,59cm,22cm,,,,Vast,Levenslang,,,1.260,1.071,,,,
FS-WAL-121,https://www.sofa.com/nl/banken/walter-banken/p/FS-WAL-121,Walter Banken,2_seat_sofas,2 en half zits banken,sofa,182cm,150cm,103cm,86cm,97cm,52cm,57cm,20cm,,,,Vast,Levenslang,Schuim met veren omhuld,,"1,308","1,112",,,,
FS-MIN-121,https://www.sofa.com/nl/banken/jaren-vijftig-banken/minnie-banken/p/FS-MIN-121,Minnie Banken,2_seat_sofas,2 en half zits banken,sofa,181cm,150cm,89cm,67cm,83cm,47cm,52cm,22cm,,,,Vast,Levenslang,,,1.128,959,,,,
BO-AVR-22E,https://www.sofa.com/nl/bedden/ottoman-frame/avery-ottoman-bed/p/BO-AVR-22E,Avery Ottoman Bed,beds,Tweepersoons bedden,sofa,147cm,,130cm,,,,,2cm,200cm,140cm,,,Levenslang,,,1.380,1.173,214cm,,,37cm
BL-HEN-22E,https://www.sofa.com/nl/bedden/hendrik-bed/p/BL-HEN-22E,Hendrik Bed,beds,Tweepersoons bedden,sofa,151cm,,103cm,,,,,26cm,200cm,140cm,,,Levenslang,,,"1,080",918,235cm,,,
BL-KNN-22E,https://www.sofa.com/nl/bedden/knightsbridge-zonder-voetbord-bed/p/BL-KNN-22E,Knightsbridge Zonder Voetbord Bed,beds,Tweepersoons bedden,sofa,159cm,,128cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,380","1,173",235cm,,,41cm
BL-LCY-22E,https://www.sofa.com/nl/bedden/lucy-bed/p/BL-LCY-22E,Lucy Bed,beds,Tweepersoons bedden,sofa,155cm,,94cm,,,,,16cm,200cm,140cm,,,Levenslang,,,876,745,229cm,,,27cm
BL-RSA-22E,https://www.sofa.com/nl/bedden/rosalie-bed/p/BL-RSA-22E,Rosalie Bed,beds,Tweepersoons bedden,sofa,148cm,,130cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,128",959,213cm,,,41cm
BL-THE-22E,https://www.sofa.com/nl/bedden/thea-bed/p/BL-THE-22E,Thea Bed,beds,Tweepersoons bedden,sofa,148cm,,130cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,128",959,231cm,,,41cm
BL-HRL-22E,https://www.sofa.com/nl/bedden/harlow-bed/p/BL-HRL-22E,Harlow Bed,beds,Tweepersoons bedden,sofa,148cm,,130cm,,,,,21cm,200cm,140cm,,,Levenslang,,,936,796,212cm,,,41cm
BL-KNI-22E,https://www.sofa.com/nl/bedden/knightsbridge-met-voetbord-bed/p/BL-KNI-22E,Knightsbridge Met Voetbord Bed,beds,Tweepersoons bedden,sofa,159cm,,128cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,752","1,489",252cm,,,66cm
BL-AUD-22E,https://www.sofa.com/nl/bedden/audrey-bed/p/BL-AUD-22E,Audrey Bed,beds,Tweepersoons bedden,sofa,174cm,,132cm,,,,,21cm,200cm,140cm,,,Levenslang,,,1.188,1.010,243cm,,,41cm
BL-AVY-22E,https://www.sofa.com/nl/bedden/avery-bed/p/BL-AVY-22E,Avery Bed,beds,Tweepersoons bedden,sofa,148cm,,150cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,068",908,212cm,,,41cm
BO-HAR-22E,https://www.sofa.com/nl/bedden/ottoman-frame/harlow-ottoman-bed/p/BO-HAR-22E,Harlow Ottoman Bed,beds,Tweepersoons bedden,sofa,147cm,,150cm,,,,,2cm,200cm,140cm,,,Levenslang,,,"1,380","1,173",214cm,,,37cm
BO-ROS-22E,https://www.sofa.com/nl/bedden/ottoman-frame/rosalie-ottoman-bed/p/BO-ROS-22E,Rosalie Ottoman Bed,beds,Tweepersoons bedden,sofa,147cm,,150cm,,,,,2cm,200cm,140cm,,,Levenslang,,,1.632,1.387,215cm,,,37cm
BO-THE-22E,https://www.sofa.com/nl/bedden/ottoman-frame/thea-ottoman-bed/p/BO-THE-22E,Thea Ottoman Bed,beds,Tweepersoons bedden,sofa,147cm,,130cm,,,,,2cm,200cm,140cm,,,Levenslang,,,"1,500","1,275",233cm,,,37cm
BL-EMA-22E,https://www.sofa.com/nl/bedden/emilia-bed/p/BL-EMA-22E,Emilia Bed,beds,Tweepersoons bedden,sofa,150cm,,129cm,,,,,21cm,200cm,140cm,,,Levenslang,,,1.080,918,226cm,,,35cm
BL-CLE-22E,https://www.sofa.com/nl/bedden/cleo-bed/p/BL-CLE-22E,Cleo Bed,beds,Tweepersoons bedden,sofa,162cm,,130cm,,,,,2cm,200cm,140cm,,,Levenslang,,,1.188,1.010,213cm,,,35cm
BL-CTR-22E,https://www.sofa.com/nl/bedden/carter-bed/p/BL-CTR-22E,Carter Bed,beds,Tweepersoons bedden,sofa,149cm,,130cm,,,,,21cm,200cm,140cm,,,Levenslang,,,"1,128",959,212cm,,,41cm
BO-CTR-22E,https://www.sofa.com/nl/bedden/carter-ottoman-bed/p/BO-CTR-22E,Carter Ottoman Bed,beds,Tweepersoons bedden,sofa,148cm,,130cm,,,,,2cm,200cm,140cm,,,Levenslang,,,1.500,1.275,214cm,,,37cm
BO-AVR-23E,https://www.sofa.com/nl/bedden/ottoman-frame/avery-ottoman-bed/p/BO-AVR-23E,Avery Ottoman Bed,beds,King bedden,sofa,167cm,,130cm,,,,,2cm,200cm,160cm,,,Levenslang,,,"1,500","1,275",214cm,,,37cm
BL-HEN-23E,https://www.sofa.com/nl/bedden/hendrik-bed/p/BL-HEN-23E,Hendrik Bed,beds,King bedden,sofa,171cm,,103cm,,,,,26cm,200cm,160cm,,,Levenslang,,,1.236,1.051,235cm,,,
BL-KNN-23E,https://www.sofa.com/nl/bedden/knightsbridge-zonder-voetbord-bed/p/BL-KNN-23E,Knightsbridge Zonder Voetbord Bed,beds,King bedden,sofa,179cm,,128cm,,,,,21cm,200cm,160cm,,,Levenslang,,,1.440,1.224,245cm,,,41cm
BL-HRL-23E,https://www.sofa.com/nl/bedden/harlow-bed/p/BL-HRL-23E,Harlow Bed,beds,King bedden,sofa,168cm,,130cm,,,,,21cm,200cm,160cm,,,Levenslang,,,1.068,908,212cm,,,41cm
BL-ROS-23E,https://www.sofa.com/nl/bedden/rosalie-bed/p/BL-ROS-23E,Rosalie Bed,beds,King bedden,sofa,168cm,,150cm,,,,,21cm,200cm,160cm,,,Levenslang,,,"1,380","1,173",213cm,,,41cm
BL-THE-23E,https://www.sofa.com/nl/bedden/thea-bed/p/BL-THE-23E,Thea Bed,beds,King bedden,sofa,168cm,,130cm,,,,,21cm,200cm,160cm,,,Levenslang,,,1.248,1.061,231cm,,,41cm
BL-LCY-23E,https://www.sofa.com/nl/bedden/lucy-bed/p/BL-LCY-23E,Lucy Bed,beds,King bedden,sofa,175cm,,94cm,,,,,16cm,200cm,160cm,,,Levenslang,,,996,847,229cm,,,27cm
BL-KNI-23E,https://www.sofa.com/nl/bedden/knightsbridge-met-voetbord-bed/p/BL-KNI-23E,Knightsbridge Met Voetbord Bed,beds,King bedden,sofa,179cm,,128cm,,,,,21cm,200cm,160cm,,,Levenslang,,,"1,824","1,550",262cm,,,66cm
BL-AUD-23E,https://www.sofa.com/nl/bedden/audrey-bed/p/BL-AUD-23E,Audrey Bed,beds,King bedden,sofa,194cm,,132cm,,,,,21cm,200cm,160cm,,,Levenslang,,,1.320,1.122,243cm,,,41cm
BL-AVY-23E,https://www.sofa.com/nl/bedden/avery-bed/p/BL-AVY-23E,Avery Bed,beds,King bedden,sofa,168cm,,150cm,,,,,21cm,200cm,160cm,,,Levenslang,,,"1,188","1,010",212cm,,,41cm
BO-HAR-23E,https://www.sofa.com/nl/bedden/ottoman-frame/harlow-ottoman-bed/p/BO-HAR-23E,Harlow Ottoman Bed,beds,King bedden,sofa,167cm,,150cm,,,,,2cm,200cm,160cm,,,Levenslang,,,1.500,1.275,214cm,,,37cm
BO-ROS-23E,https://www.sofa.com/nl/bedden/ottoman-frame/rosalie-ottoman-bed/p/BO-ROS-23E,Rosalie Ottoman Bed,beds,King bedden,sofa,168cm,,150cm,,,,,2cm,200cm,160cm,,,Levenslang,,,1.752,1.489,215cm,,,37cm
BO-THE-23E,https://www.sofa.com/nl/bedden/ottoman-frame/thea-ottoman-bed/p/BO-THE-23E,Thea Ottoman Bed,beds,King bedden,sofa,167cm,,130cm,,,,,2cm,200cm,160cm,,,Levenslang,,,"1,632","1,387",233cm,,,37cm
BL-EMA-23E,https://www.sofa.com/nl/bedden/emilia-bed/p/BL-EMA-23E,Emilia Bed,beds,King bedden,sofa,170cm,,129cm,,,,,21cm,200cm,160cm,,,Levenslang,,,"1,236","1,051",226cm,,,35cm
BL-CAT-23E,https://www.sofa.com/nl/bedden/carter-bed/p/BL-CAT-23E,Carter Bed,beds,King bedden,sofa,169cm,,150cm,,,,,21cm,200cm,160cm,,,Levenslang,,,"1,380","1,173",212cm,,,41cm
BL-CLE-23E,https://www.sofa.com/nl/bedden/cleo-bed/p/BL-CLE-23E,Cleo Bed,beds,King bedden,sofa,182cm,,130cm,,,,,2cm,200cm,160cm,,,Levenslang,,,"1,320","1,122",213cm,,,35cm
BO-CAT-23E,https://www.sofa.com/nl/bedden/carter-ottoman-bed/p/BO-CAT-23E,Carter Ottoman Bed,beds,King bedden,sofa,168cm,,150cm,,,,,2cm,200cm,160cm,,,Levenslang,,,1.752,1.489,214cm,,,37cm
BO-AVR-24E,https://www.sofa.com/nl/bedden/ottoman-frame/avery-ottoman-bed/p/BO-AVR-24E,Avery Ottoman Bed,beds,Super-king bedden,sofa,187cm,,130cm,,,,,2cm,200cm,180cm,,,Levenslang,,,"1,632","1,387",214cm,,,37cm
BL-HEN-24E,https://www.sofa.com/nl/bedden/hendrik-bed/p/BL-HEN-24E,Hendrik Bed,beds,Super-king bedden,sofa,191cm,,103cm,,235cm,,,26cm,200cm,180cm,,,Levenslang,,,1.344,1.142,,,,
BL-KNN-24E,https://www.sofa.com/nl/bedden/knightsbridge-zonder-voetbord-bed/p/BL-KNN-24E,Knightsbridge Zonder Voetbord Bed,beds,Super-king bedden,sofa,199cm,,128cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.632,1.387,235cm,,,41cm
BL-ROS-24E,https://www.sofa.com/nl/bedden/rosalie-bed/p/BL-ROS-24E,Rosalie Bed,beds,Super-king bedden,sofa,188cm,,150cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.500,1.275,213cm,,,41cm
BL-LCY-24E,https://www.sofa.com/nl/bedden/lucy-bed/p/BL-LCY-24E,Lucy Bed,beds,Super-king bedden,sofa,195cm,,94cm,,,,,16cm,200cm,180cm,,,Levenslang,,,"1,128",959,229cm,,,27cm
BL-KNI-24E,https://www.sofa.com/nl/bedden/knightsbridge-met-voetbord-bed/p/BL-KNI-24E,Knightsbridge Met Voetbord Bed,beds,Super-king bedden,sofa,191cm,,128cm,,,,,21cm,200cm,180cm,,,Levenslang,,,2.004,1.703,252cm,,,66cm
BL-THE-24E,https://www.sofa.com/nl/bedden/thea-bed/p/BL-THE-24E,Thea Bed,beds,Super-king bedden,sofa,188cm,,130cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.380,1.173,231cm,,,41cm
BL-HRL-24E,https://www.sofa.com/nl/bedden/harlow-bed/p/BL-HRL-24E,Harlow Bed,beds,Super-king bedden,sofa,188cm,,130cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.188,1.010,212cm,,,41cm
BL-AUD-24E,https://www.sofa.com/nl/bedden/audrey-bed/p/BL-AUD-24E,Audrey Bed,beds,Super-king bedden,sofa,214cm,,132cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.440,1.224,243cm,,,41cm
BL-AVY-24E,https://www.sofa.com/nl/bedden/avery-bed/p/BL-AVY-24E,Avery Bed,beds,Super-king bedden,sofa,188cm,,150cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.320,1.122,212cm,,,41cm
BO-HAR-24E,https://www.sofa.com/nl/bedden/ottoman-frame/harlow-ottoman-bed/p/BO-HAR-24E,Harlow Ottoman Bed,beds,Super-king bedden,sofa,187cm,,150cm,,,,,2cm,200cm,180cm,,,Levenslang,,,"1,632","1,387",214cm,,,37cm
BO-RSA-24E,https://www.sofa.com/nl/bedden/ottoman-frame/rosalie-ottoman-bed/p/BO-RSA-24E,Rosalie Ottoman Bed,beds,Super-king bedden,sofa,187cm,,130cm,,,,,2cm,200cm,180cm,,,Levenslang,,,1.752,1.489,215cm,,,37cm
BO-THE-24E,https://www.sofa.com/nl/bedden/ottoman-frame/thea-ottoman-bed/p/BO-THE-24E,Thea Ottoman Bed,beds,Super-king bedden,sofa,187cm,,130cm,,,,,2cm,200cm,180cm,,,Levenslang,,,1.752,1.489,233cm,,,37cm
BL-EMA-24E,https://www.sofa.com/nl/bedden/emilia-bed/p/BL-EMA-24E,Emilia Bed,beds,Super-king bedden,sofa,190cm,,129cm,,,,,21cm,200cm,180cm,,,Levenslang,,,"1,344","1,142",226cm,,,35cm
BL-CAT-24E,https://www.sofa.com/nl/bedden/carter-bed/p/BL-CAT-24E,Carter Bed,beds,Super-king bedden,sofa,189cm,,150cm,,,,,21cm,200cm,180cm,,,Levenslang,,,1.500,1.275,212cm,,,41cm
BL-CLE-24E,https://www.sofa.com/nl/bedden/cleo-bed/p/BL-CLE-24E,Cleo Bed,beds,Super-king bedden,sofa,189cm,,130cm,,,,,21cm,200cm,180cm,,,Levenslang,,,"1,440","1,224",212cm,,,41cm
BO-CAT-24E,https://www.sofa.com/nl/bedden/carter-ottoman-bed/p/BO-CAT-24E,Carter Ottoman Bed,beds,Super-king bedden,sofa,188cm,,150cm,,,,,2cm,200cm,180cm,,,Levenslang,,,1.884,1.601,214cm,,,37cm
